algoritmo,modelo,c1,c2,error_cuadratico
busqueda_optimizada,c1*n^1.5 + c2,1.0771706312156137e-10,0.014555271620719209,0.0026719989961723426
busqueda_base,c1*n^2 + c2,3.472599560209479e-08,0.014808706892568307,0.004121640951303158
